Table with row headers in column A and column headers in rows 5 through 7.,,,,,,,,,,,,
"Table A-1. Annual Geographical Mobility Rates, By Type of Movement:  1948-2018",,,,,,,,,,,,
(Numbers in thousands.),,,,,,,,,,,,
,,,,,,,,,,,,
Mobility period,"Total, 1 year old and over",Same residence (non-movers),Total movers,Different residence in the United States,,,,,Movers from abroad,,,
2009-2010 (2010 controls)/2, 100.0 , 87.5 , 12.5 , 12.1 , 8.6 , 3.5 , 2.1 , 1.4 , 0.3 ,,,
2009-2010 (2000 controls)/3, 100.0 , 87.5 , 12.5 , 12.2 , 8.7 , 3.5 , 2.1 , 1.4 , 0.3 ,,,
2008-2009, 100.0 , 87.5 , 12.5 , 12.1 , 8.4 , 3.7 , 2.1 , 1.6 , 0.4 ,,,
2007-2008, 100.0 , 88.1 , 11.9 , 11.5 , 7.8 , 3.7 , 2.1 , 1.6 , 0.4 ,,,
2006-2007, 100.0 , 86.8 , 13.2 , 12.8 , 8.6 , 4.2 , 2.5 , 1.7 , 0.4 ,,,
2005-2006, 100.0 , 86.3 , 13.7 , 13.3 , 8.6 , 4.7 , 2.8 , 2.0 , 0.4 ,,,
,,,,,,,,,,,,
2004-2005/4, 100.0 , 86.1 , 13.9 , 13.2 , 7.9 , 5.3 , 2.7 , 2.6 , 0.6 ,,,
2003-2004, 100.0 , 86.3 , 13.7 , 13.3 , 7.9 , 5.3 , 2.8 , 2.6 , 0.4 ,,,
2002-2003, 100.0 , 85.8 , 14.2 , 13.7 , 8.3 , 5.4 , 2.7 , 2.7 , 0.4 ,,,
2001-2002, 100.0 , 85.2 , 14.8 , 14.2 , 8.5 , 5.7 , 2.9 , 2.8 , 0.6 ,,,
2000-2001 (2000 controls)/3, 100.0 , 85.8 , 14.2 , 13.5 , 8.0 , 5.6 , 2.7 , 2.8 , 0.6 ,,,
"2000-2001 (SCHIP, 2000 controls)/5", 100.0 , 85.5 , 14.5 , 13.8 , 8.3 , 5.6 , 2.8 , 2.8 , 0.6 ,,,
2000-2001 (1990 controls)/6, 100.0 , 85.8 , 14.2 , 13.6 , 8.0 , 5.6 , 2.8 , 2.8 , 0.6 ,,,
,,,,,,,,,,,,
1999-2000, 100.0 , 83.9 , 16.1 , 15.4 , 9.0 , 6.4 , 3.3 , 3.1 , 0.6 ,,,
1998-1999, 100.0 , 84.1 , 15.9 , 15.4 , 9.4 , 5.9 , 3.1 , 2.8 , 0.5 ,,,
1997-1998, 100.0 , 84.0 , 16.0 , 15.6 , 10.2 , 5.4 , 3.0 , 2.4 , 0.5 ,,,
1996-1997, 100.0 , 83.5 , 16.5 , 16.0 , 10.5 , 5.5 , 3.0 , 2.4 , 0.5 ,,,
1995-1996, 100.0 , 83.7 , 16.3 , 15.8 , 10.3 , 5.6 , 3.1 , 2.5 , 0.5 ,,,
,,,,,,,,,,,,
1994-1995, 100.0 , 83.6 , 16.4 , 16.1 , 10.8 , 5.3 , 3.1 , 2.2 , 0.3 ,,,
1993-1994, 100.0 , 83.3 , 16.7 , 16.3 , 10.4 , 5.8 , 3.2 , 2.6 , 0.5 ,,,
1992-1993 (1990 controls)/6, 100.0 , 83.0 , 17.0 , 16.5 , 10.7 , 5.8 , 3.1 , 2.7 , 0.6 ,,,
1992-1993 (1980 controls)/7, 100.0 , 83.2 , 16.8 , 16.3 , 10.5 , 5.8 , 3.1 , 2.7 , 0.5 ,,,
1991-1992, 100.0 , 82.7 , 17.3 , 16.8 , 10.7 , 6.0 , 3.2 , 2.9 , 0.5 ,,,
1990-1991, 100.0 , 83.0 , 17.0 , 16.4 , 10.3 , 6.1 , 3.2 , 2.9 , 0.6 ,,,
,,,,,,,,,,,,
1989-1990, 100.0 , 82.1 , 17.9 , 17.3 , 10.6 , 6.6 , 3.3 , 3.3 , 0.6 ,,,
1988-1989, 100.0 , 82.2 , 17.8 , 17.2 , 10.9 , 6.3 , 3.3 , 3.0 , 0.6 ,,,
1987-1988, 100.0 , 82.2 , 17.8 , 17.3 , 11.0 , 6.2 , 3.3 , 3.0 , 0.5 ,,,
1986-1987, 100.0 , 81.4 , 18.6 , 18.1 , 11.6 , 6.5 , 3.7 , 2.8 , 0.5 ,,,
1985-1986, 100.0 , 81.4 , 18.6 , 18.0 , 11.3 , 6.7 , 3.7 , 3.0 , 0.5 ,,,
,,,,,,,,,,,,
1984-1985, 100.0 , 79.8 , 20.2 , 19.6 , 13.1 , 6.5 , 3.5 , 3.0 , 0.6 ,,,
1983-1984, 100.0 , 82.7 , 17.3 , 16.8 , 10.4 , 6.4 , 3.6 , 2.8 , 0.5 ,,,
1982-1983, 100.0 , 83.4 , 16.6 , 16.1 , 10.1 , 6.0 , 3.3 , 2.7 , 0.4 ,,,
1981-1982, 100.0 , 83.0 , 17.0 , 16.6 , 10.3 , 6.2 , 3.3 , 3.0 , 0.5 ,,,
1980-1981, 100.0 , 82.8 , 17.2 , 16.6 , 10.4 , 6.2 , 3.4 , 2.8 , 0.6 ,,,
,,,,,,,,,,,,
1975-1976/8, 100.0 , 82.3 , 17.7 , 17.1 , 10.8 , 6.4 , 3.4 , 3.0 , 0.6 ,,,
1970-1971/8, 100.0 , 81.3 , 18.7 , 17.9 , 11.4 , 6.5 , 3.1 , 3.4 , 0.8 ,,,
,,,,,,,,,,,,
1969-1970, 100.0 , 80.9 , 19.1 , 18.4 , 11.7 , 6.7 , 3.1 , 3.6 , 0.8 ,,,
1968-1969, 100.0 , 81.0 , 19.0 , 18.3 , 11.7 , 6.6 , 3.2 , 3.4 , 0.7 ,,,
1967-1968, 100.0 , 80.5 , 19.5 , 18.8 , 11.8 , 7.0 , 3.4 , 3.6 , 0.7 ,,,
1966-1967, 100.0 , 81.0 , 19.0 , 18.3 , 11.6 , 6.7 , 3.3 , 3.4 , 0.7 ,,,
1965-1966, 100.0 , 80.2 , 19.8 , 19.3 , 12.7 , 6.6 , 3.3 , 3.3 , 0.5 ,,,
,,,,,,,,,,,,
1964-1965, 100.0 , 79.3 , 20.7 , 20.1 , 13.4 , 6.8 , 3.5 , 3.3 , 0.5 ,,,
1963-1964, 100.0 , 79.9 , 20.1 , 19.6 , 13.0 , 6.6 , 3.3 , 3.3 , 0.5 ,,,
1962-1963, 100.0 , 80.0 , 20.0 , 19.4 , 12.6 , 6.8 , 3.1 , 3.6 , 0.6 ,,,
1961-1962, 100.0 , 80.4 , 19.6 , 19.1 , 13.0 , 6.1 , 3.0 , 3.1 , 0.5 ,,,
1960-1961, 100.0 , 79.4 , 20.6 , 20.0 , 13.7 , 6.3 , 3.1 , 3.2 , 0.6 ,,,
,,,,,,,,,,,,
1959-1960, 100.0 , 80.1 , 19.9 , 19.4 , 12.9 , 6.4 , 3.3 , 3.2 , 0.5 ,,,
1958-1959, 100.0 , 80.3 , 19.7 , 19.2 , 13.1 , 6.1 , 3.2 , 3.0 , 0.5 ,,,
1957-1958, 100.0 , 79.7 , 20.3 , 19.8 , 13.1 , 6.7 , 3.4 , 3.3 , 0.5 ,,,
1956-1957, 100.0 , 80.1 , 19.9 , 19.4 , 13.1 , 6.2 , 3.2 , 3.1 , 0.5 ,,,
1955-1956, 100.0 , 78.9 , 21.1 , 20.5 , 13.7 , 6.8 , 3.6 , 3.1 , 0.6 ,,,
,,,,,,,,,,,,
1954-1955, 100.0 , 79.6 , 20.4 , 19.9 , 13.3 , 6.6 , 3.5 , 3.1 , 0.6 ,,,
1953-1954, 100.0 , 80.7 , 19.3 , 18.6 , 12.2 , 6.4 , 3.2 , 3.2 , 0.6 ,,,
1952-1953, 100.0 , 79.4 , 20.6 , 20.1 , 13.5 , 6.6 , 3.0 , 3.6 , 0.5 ,,,
1951-1952, 100.0 , 79.7 , 20.3 , 19.8 , 13.2 , 6.6 , 3.2 , 3.4 , 0.4 ,,,
1950-1951, 100.0 , 78.8 , 21.2 , 21.0 , 13.9 , 7.1 , 3.6 , 3.5 , 0.2 ,,,
,,,,,,,,,,,,
1949-1950, 100.0 , 80.9 , 19.1 , 18.7 , 13.1 , 5.6 , 3.0 , 2.6 , 0.3 ,,,
1948-1949, 100.0 , 80.8 , 19.2 , 18.8 , 13.0 , 5.8 , 2.8 , 3.0 , 0.3 ,,,
1947-1948, 100.0 , 79.8 , 20.2 , 19.9 , 13.6 , 6.4 , 3.3 , 3.1 , 0.3 ,,,
Footnotes:,,,,,,,,,,,,
"1/ The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. All of the approximately 98,000 addresses were selected to receive the improved set of health insurance coverage items. The improved income questions were implemented using a split panel design.  Approximately 68,000 addresses were selected to receive a set of income questions similar to those used in the 2013 CPS ASEC. The remaining 30,000 addresses were selected to receive the redesigned income questions. The source of data for this table is the CPS ASEC sample of 98,000 addresses.",,,,,,,,,,,,
2/ Population controls consistent with 2010 Census.,,,,,,,,,,,,
3/ Population controls consistent with 2000 Census.,,,,,,,,,,,,
"4/ Caution should be used when comparing numbers/rates of movers within the same county and from a different county between the 1999-2000 to 2004-2005 period with other periods. A change in processing resulted in a shift in the distribution of movers for these years. For additional information, see the ""Impact of Processing on CPS Interstate Migration Rates"" note < http://www.census.gov/population/www/socdemo/CPSnote.pdf >.   ",,,,,,,,,,,,
5/ SCHIP sample: poulation controls consistent with 2000 Census.,,,,,,,,,,,,
6/ Population controls consistent with 1990 Census.,,,,,,,,,,,,
7/ Population controls consistent with 1980 Census.,,,,,,,,,,,,
"8/ The 1-year geographic mobility question was not asked between 1972 through 1975 and 1977 to 1980. The first half of the decade (1971-1975) asked about migration since 1970 and the second half (1976-1980) since 1975. Therefore, only 1970-1971 and 1975-1976 ask a comparable 1-year question.    ",,,,,,,,,,,,
For more information on the transition from Census 2000 to Census 2010 population controls:,,,,,,,,,,,,
Adjustments to Household Survey Population Estimates in January 2012,,,,,,,,,,,,
"Population Estimates in January 2012 webpage
",,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey 1948-2018",,,,,,,,,,,,
